name,price,Is it a 3D Printer?,dimensions (mm),type,speed (mm/s),rating,review,link
ELEGOO Neptune 4 Max,719.99, yes, 420 x 420 x 480, FDM,500,4.2,551 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MToxMjQ3OTQ5Mzc4MzE2OTEzOjE3MjczODAzOTI6c3BfYXRmOjMwMDE4MzIyMTI3NjkwMjo6MDo6&url=%2FELEGOO-Neptune-Max-High-Speed-420x420x480mm%2Fdp%2FB0CQNQ3LZP%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2FEGPDXUL9K1Y%26dib%3DeyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26qid%3D1727380392%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Sovol SV06 Plus,459.99, Yes, 300 x 300 x 340, FDM,250,4,623 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MToxMjQ3OTQ5Mzc4MzE2OTEzOjE3MjczODAzOTI6c3BfYXRmOjMwMDAwMjA0NTUzNTYwMjo6MDo6&url=%2FSovol-SV06-Plus-Planetary-300x300x340mm%2Fdp%2FB0BXKK765N%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2FEGPDXUL9K1Y%26dib%3DeyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26qid%3D1727380392%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
FLASHFORGE Adventurer 5M,549, Yes, 220 x 220 x 220, FDM,600,4.1,85 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MToxMjQ3OTQ5Mzc4MzE2OTEzOjE3MjczODAzOTI6c3BfYXRmOjMwMDE1OTE0MDI3MzEwMjo6MDo6&url=%2FFLASHFORGE-Adventurer-Detachable-Structure-220x220x200mm%2Fdp%2FB0CJRF1N7R%2Fref%3Dsr_1_3_sspa%3Fcrid%3D2FEGPDXUL9K1Y%26dib%3DeyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26qid%3D1727380392%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
ANYCUBIC Photon Mono M5s Pro,662.99, Yes, 224 x 126 x 200, SLA,120,4.4,"1,031 ratings",https://www.amazon.ca/sspa/click?ie=UTF8&spc=MToxMjQ3OTQ5Mzc4MzE2OTEzOjE3MjczODAzOTI6c3BfYXRmOjMwMDIxMzA3NTI4NzIwMjo6MDo6&url=%2FANYCUBIC-Printing-Leveling-Free-Intelligent-Detection%2Fdp%2FB0CQC4ZPZ6%2Fref%3Dsr_1_4_sspa%3Fcrid%3D2FEGPDXUL9K1Y%26dib%3DeyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26qid%3D1727380392%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
AnkerMake M5C 3D Printer,369.95, Yes, 220 x 220 x 250, FDM,500,4.3,371 ratings,https://www.amazon.ca/AnkerMake-High-Speed-Multi-Device-Auto-Leveling-220%C3%97220%C3%97250/dp/B0C2HMQB15/ref=sr_1_5?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q&dib_tag=se&keywords=3D+Printers&qid=1727380392&sprefix=3d+printers%2Caps%2C146&sr=8-5
ELEGOO Neptune 3 Pro,335.99, yes, 225 x 225 x 280, FDM, N/A,4.2,551 ratings,https://www.amazon.ca/ELEGOO-Dual-Gear-Removable-Capacitive-225x225x280mm/dp/B0BJCQ993L/ref=sr_1_6?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q&dib_tag=se&keywords=3D+Printers&qid=1727380392&sprefix=3d+printers%2Caps%2C146&sr=8-6
ANYCUBIC Kobra 2 Neo,359.99, Yes, 220 x 220 x 250, FDM,250,4,242 ratings,https://www.amazon.ca/ANYCUBIC-Leveling-Self-Developed-Removable-8-7x8-7x9-84/dp/B09QCNQ2BY/ref=sr_1_7?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q&dib_tag=se&keywords=3D+Printers&qid=1727380392&sprefix=3d+printers%2Caps%2C146&sr=8-7
ELEGOO Mars 4,329.99, Yes, 153.36 x 77.76 x 175, MSLA, N/A,4.4,857 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo3MDU3NzQ0NjA2Njg2ODc6MTcyNzM4MDM5MjpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMDU1NDY0NDYwNzAyOjowOjo&url=%2FELEGOO-Photocuring-Monochrome-153-36x77-76x175-6-04x3-06x6-89%2Fdp%2FB0BKFLY923%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.46621be6-fabe-4126-8501-d32c96c42a24%253Aamzn1.sym.46621be6-fabe-4126-8501-d32c96c42a24%26crid%3D2FEGPDXUL9K1Y%26cv_ct_cx%3D3D%2BPrinters%26dib%3DeyJ2IjoiMSJ9.HJawrJvg-kRWD8B8TUu27lX8CCVs605lAvyvsPwuB3ZBKJJSCP9fFXBCMYlGv6K5x0xVNUdR-f7x0KNbMuxOuQ.4-skHaAJtmDS9fy7H53qRdfxI6TLeu2wQ15PUy1Huxk%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26pd_rd_i%3DB0BKFLY923%26pd_rd_r%3D5d0408b0-658c-4b49-97bd-53946e0e76b4%26pd_rd_w%3DkH8zb%26pd_rd_wg%3DqyHZz%26pf_rd_p%3D46621be6-fabe-4126-8501-d32c96c42a24%26pf_rd_r%3D3MB69SWSJANE7ZVBS4Y2%26qid%3D1727380392%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D1-1-acb80629-ce74-4cc5-9423-11e8801573fb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Sovol SV06 Plus,459.99, yes, 298 x 298 x 340, FDM,250,4,623 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo3MDU3NzQ0NjA2Njg2ODc6MTcyNzM4MDM5MjpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMDAyMDQ1NTM1NjAyOjoxOjo&url=%2FSovol-SV06-Plus-Planetary-300x300x340mm%2Fdp%2FB0BXKK765N%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.46621be6-fabe-4126-8501-d32c96c42a24%253Aamzn1.sym.46621be6-fabe-4126-8501-d32c96c42a24%26crid%3D2FEGPDXUL9K1Y%26cv_ct_cx%3D3D%2BPrinters%26dib%3DeyJ2IjoiMSJ9.HJawrJvg-kRWD8B8TUu27lX8CCVs605lAvyvsPwuB3ZBKJJSCP9fFXBCMYlGv6K5x0xVNUdR-f7x0KNbMuxOuQ.4-skHaAJtmDS9fy7H53qRdfxI6TLeu2wQ15PUy1Huxk%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26pd_rd_i%3DB0BXKK765N%26pd_rd_r%3D5d0408b0-658c-4b49-97bd-53946e0e76b4%26pd_rd_w%3DkH8zb%26pd_rd_wg%3DqyHZz%26pf_rd_p%3D46621be6-fabe-4126-8501-d32c96c42a24%26pf_rd_r%3D3MB69SWSJANE7ZVBS4Y2%26qid%3D1727380392%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D1-2-acb80629-ce74-4cc5-9423-11e8801573fb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
ANYCUBIC Photon Mono M7 Pro,889.99, Yes, 222.5 x 126 x 230, SLA,170,4.3,668 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo3MDU3NzQ0NjA2Njg2ODc6MTcyNzM4MDM5MjpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMjQyNTE0OTU5NTAyOjoyOjo&url=%2FANYCUBIC-Printing-LighTurbo-Temperature-Controlled%2Fdp%2FB0CZQTLSR4%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.46621be6-fabe-4126-8501-d32c96c42a24%253Aamzn1.sym.46621be6-fabe-4126-8501-d32c96c42a24%26crid%3D2FEGPDXUL9K1Y%26cv_ct_cx%3D3D%2BPrinters%26dib%3DeyJ2IjoiMSJ9.HJawrJvg-kRWD8B8TUu27lX8CCVs605lAvyvsPwuB3ZBKJJSCP9fFXBCMYlGv6K5x0xVNUdR-f7x0KNbMuxOuQ.4-skHaAJtmDS9fy7H53qRdfxI6TLeu2wQ15PUy1Huxk%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26pd_rd_i%3DB0CZQTLSR4%26pd_rd_r%3D5d0408b0-658c-4b49-97bd-53946e0e76b4%26pd_rd_w%3DkH8zb%26pd_rd_wg%3DqyHZz%26pf_rd_p%3D46621be6-fabe-4126-8501-d32c96c42a24%26pf_rd_r%3D3MB69SWSJANE7ZVBS4Y2%26qid%3D1727380392%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D1-3-acb80629-ce74-4cc5-9423-11e8801573fb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
